first_name,last_name,gender,major,year,email,dollar_limit,prob_of_activity,prob_of_comment,prob_of_like,ethnicity,age,image_url
steven,hoffman,male,ECE,PhD,steven.hoffman68@example.com,11,0.3435,0.5516,0.458,Romulan,19,http://api.randomuser.me/portraits/thumb/men/1.jpg
kristin,dunn,female,Media,Sophomore,kristin.dunn66@example.com,11,0.2883,0.5366,0.2682,Klingon,26,http://api.randomuser.me/portraits/thumb/women/5.jpg
fernando,hicks,male,Media,PhD,fernando.hicks64@example.com,8,0.3227,0.1047,0.6041,Romulan,19,http://api.randomuser.me/portraits/thumb/men/1.jpg
armando,lowe,male,Mech,Junior,armando.lowe68@example.com,11,0.1653,0.5024,0.9843,Martian,22,http://api.randomuser.me/portraits/thumb/men/1.jpg
steve,sutton,male,ECE,Junior,steve.sutton16@example.com,6,0.1861,0.0134,0.4961,Romulan,25,http://api.randomuser.me/portraits/thumb/men/1.jpg
cory,berry,male,ECE,Senior,cory.berry98@example.com,5,0.397,0.1288,0.6645,Romulan,27,http://api.randomuser.me/portraits/thumb/men/1.jpg
kristina,mendoza,female,Media,Grad,kristina.mendoza97@example.com,5,0.3452,0.0765,0.0514,Klingon,23,http://api.randomuser.me/portraits/thumb/women/69.jpg
jennifer,reyes,female,Civil,Junior,jennifer.reyes28@example.com,7,0.3414,0.6797,0.2666,Vulcan,27,http://api.randomuser.me/portraits/thumb/women/87.jpg
amy,morgan,female,Media,Senior,amy.morgan53@example.com,11,0.4252,0.1072,0.1248,Klingon,25,http://api.randomuser.me/portraits/thumb/women/29.jpg
zoe,diaz,female,Media,Senior,zoe.diaz64@example.com,9,0.0886,0.2734,0.9234,Klingon,18,http://api.randomuser.me/portraits/thumb/women/44.jpg
roberta,fuller,female,CS,Grad,roberta.fuller54@example.com,10,0.1614,0.1703,0.107,Vulcan,27,http://api.randomuser.me/portraits/thumb/women/11.jpg
clarence,hicks,male,Aerospace,Grad,clarence.hicks45@example.com,11,0.0228,0.6897,0.2191,Human,24,http://api.randomuser.me/portraits/thumb/men/1.jpg
caroline,little,female,CS,PhD,caroline.little57@example.com,9,0.0195,0.1595,0.7156,Vulcan,27,http://api.randomuser.me/portraits/thumb/women/41.jpg
martha,garcia,female,Aerospace,Grad,martha.garcia25@example.com,10,0.1446,0.0463,0.183,Martian,23,http://api.randomuser.me/portraits/thumb/women/59.jpg
kirk,collins,male,Architecture,PhD,kirk.collins85@example.com,8,0.2114,0.1182,0.2737,Romulan,27,http://api.randomuser.me/portraits/thumb/men/1.jpg
peggy,ferguson,female,Aerospace,Grad,peggy.ferguson28@example.com,8,0.2336,0.3818,0.6762,Human,20,http://api.randomuser.me/portraits/thumb/women/18.jpg
dan,cooper,male,Aerospace,Junior,dan.cooper98@example.com,10,0.1911,0.5968,0.8627,Human,29,http://api.randomuser.me/portraits/thumb/men/1.jpg
felecia,jensen,female,Architecture,Grad,felecia.jensen92@example.com,11,0.3192,0.5891,0.9887,Vulcan,21,http://api.randomuser.me/portraits/thumb/women/90.jpg
hilda,henderson,female,ECE,Freshman,hilda.henderson80@example.com,8,0.1944,0.4504,0.7726,Human,25,http://api.randomuser.me/portraits/thumb/women/75.jpg
thomas,richardson,male,Media,Freshman,thomas.richardson84@example.com,7,0.0922,0.1078,0.2167,Romulan,28,http://api.randomuser.me/portraits/thumb/men/1.jpg
grace,flores,female,ECE,Junior,grace.flores63@example.com,11,0.2076,0.1141,0.3393,Vulcan,20,http://api.randomuser.me/portraits/thumb/women/55.jpg
miriam,lucas,female,Media,Grad,miriam.lucas68@example.com,5,0.1107,0.3556,0.5838,Vulcan,25,http://api.randomuser.me/portraits/thumb/women/51.jpg
soham,gregory,male,Media,Freshman,soham.gregory28@example.com,11,0.1699,0.4454,0.5737,Human,29,http://api.randomuser.me/portraits/thumb/men/10.jpg
harry,dixon,male,Civil,PhD,harry.dixon44@example.com,8,0.4516,0.0969,0.7604,Vulcan,18,http://api.randomuser.me/portraits/thumb/men/10.jpg
michelle,kuhn,female,Mech,Senior,michelle.kuhn46@example.com,11,0.274,0.1108,0.0114,Human,19,http://api.randomuser.me/portraits/thumb/women/83.jpg
mary,rivera,female,Aerospace,PhD,mary.rivera95@example.com,6,0.1847,0.6418,0.1578,Human,17,http://api.randomuser.me/portraits/thumb/women/72.jpg
gilbert,gibson,male,Mech,Grad,gilbert.gibson19@example.com,11,0.0489,0.5052,0.7305,Martian,22,http://api.randomuser.me/portraits/thumb/men/10.jpg
gina,reed,female,Mech,Sophomore,gina.reed77@example.com,6,0.4033,0.367,0.7797,Human,20,http://api.randomuser.me/portraits/thumb/women/3.jpg
ramona,torres,female,Civil,Freshman,ramona.torres49@example.com,11,0.3496,0.2684,0.0962,Human,18,http://api.randomuser.me/portraits/thumb/women/31.jpg
pauline,barnes,female,Civil,Sophomore,pauline.barnes11@example.com,8,0.3967,0.4851,0.6042,Klingon,17,http://api.randomuser.me/portraits/thumb/women/62.jpg
austin,montgomery,male,Civil,Sophomore,austin.montgomery80@example.com,8,0.2008,0.4849,0.2581,Human,26,http://api.randomuser.me/portraits/thumb/men/10.jpg
marvin,ray,male,ECE,Grad,marvin.ray85@example.com,9,0.3927,0.4071,0.2915,Klingon,24,http://api.randomuser.me/portraits/thumb/men/10.jpg
mae,perry,female,Civil,PhD,mae.perry65@example.com,5,0.1533,0.0934,0.0485,Romulan,20,http://api.randomuser.me/portraits/thumb/women/58.jpg
sally,arnold,female,Architecture,Junior,sally.arnold89@example.com,5,0.2456,0.0056,0.2737,Vulcan,19,http://api.randomuser.me/portraits/thumb/women/20.jpg
ramona,hicks,female,CS,PhD,ramona.hicks81@example.com,5,0.4642,0.0462,0.1272,Romulan,25,http://api.randomuser.me/portraits/thumb/women/62.jpg
nellie,wright,female,Mech,Grad,nellie.wright98@example.com,11,0.1403,0.4947,0.5138,Klingon,29,http://api.randomuser.me/portraits/thumb/women/33.jpg
flenn,jimenez,male,Architecture,PhD,flenn.jimenez57@example.com,11,0.066,0.5746,0.1471,Human,19,http://api.randomuser.me/portraits/thumb/men/10.jpg
claude,henry,male,Mech,Senior,claude.henry29@example.com,10,0.3578,0.1841,0.1744,Human,19,http://api.randomuser.me/portraits/thumb/men/10.jpg
terra,jordan,female,Media,Grad,terra.jordan76@example.com,5,0.4728,0.1556,0.6639,Klingon,17,http://api.randomuser.me/portraits/thumb/women/67.jpg
enrique,rodriguez,male,CS,Senior,enrique.rodriguez88@example.com,6,0.2522,0.3828,0.2282,Vulcan,24,http://api.randomuser.me/portraits/thumb/men/10.jpg
danielle,beck,female,Civil,Senior,danielle.beck64@example.com,8,0.35,0.2444,0.2032,Klingon,18,http://api.randomuser.me/portraits/thumb/women/47.jpg
ruben,johnston,male,Media,Freshman,ruben.johnston19@example.com,7,0.2019,0.0566,0.6368,Human,19,http://api.randomuser.me/portraits/thumb/men/10.jpg
rachel,morales,female,Civil,Junior,rachel.morales29@example.com,7,0.119,0.408,0.0319,Romulan,20,http://api.randomuser.me/portraits/thumb/women/39.jpg
mason,roberts,male,Civil,Senior,mason.roberts89@example.com,9,0.4748,0.0738,0.7865,Romulan,17,http://api.randomuser.me/portraits/thumb/men/10.jpg
vickie,richardson,female,Mech,PhD,vickie.richardson35@example.com,8,0.4727,0.0536,0.2104,Human,19,http://api.randomuser.me/portraits/thumb/women/86.jpg
carolyn,dunn,female,Architecture,PhD,carolyn.dunn48@example.com,8,0.15,0.6634,0.3386,Romulan,17,http://api.randomuser.me/portraits/thumb/women/22.jpg
kevin,shelton,male,Architecture,Junior,kevin.shelton82@example.com,11,0.1754,0.4921,0.9651,Vulcan,25,http://api.randomuser.me/portraits/thumb/men/11.jpg
todd,fletcher,male,ECE,Grad,todd.fletcher21@example.com,9,0.1545,0.4447,0.6448,Klingon,22,http://api.randomuser.me/portraits/thumb/men/11.jpg
rosemary,castillo,female,Aerospace,Grad,rosemary.castillo26@example.com,7,0.0816,0.4781,0.6161,Human,19,http://api.randomuser.me/portraits/thumb/women/62.jpg
dolores,jordan,female,Media,Sophomore,dolores.jordan90@example.com,11,0.1036,0.2477,0.1588,Romulan,28,http://api.randomuser.me/portraits/thumb/women/33.jpg
leon,harper,male,Mech,Grad,leon.harper46@example.com,5,0.0366,0.0745,0.4294,Romulan,28,http://api.randomuser.me/portraits/thumb/men/11.jpg
tyler,byrd,male,Aerospace,PhD,tyler.byrd16@example.com,6,0.221,0.3335,0.9974,Vulcan,26,http://api.randomuser.me/portraits/thumb/men/11.jpg
edna,ray,female,Media,Sophomore,edna.ray12@example.com,9,0.199,0.4703,0.9467,Human,23,http://api.randomuser.me/portraits/thumb/women/39.jpg
rhonda,neal,female,Architecture,Sophomore,rhonda.neal99@example.com,10,0.2353,0.5555,0.8057,Klingon,18,http://api.randomuser.me/portraits/thumb/women/65.jpg
amber,garcia,female,Civil,Junior,amber.garcia16@example.com,11,0.3816,0.2222,0.3615,Romulan,26,http://api.randomuser.me/portraits/thumb/women/24.jpg
brittany,wright,female,Architecture,Freshman,brittany.wright16@example.com,11,0.3927,0.5665,0.1694,Klingon,23,http://api.randomuser.me/portraits/thumb/women/56.jpg
deann,grant,female,Aerospace,Junior,deann.grant31@example.com,11,0.3206,0.0657,0.6296,Vulcan,28,http://api.randomuser.me/portraits/thumb/women/56.jpg
annie,powell,female,Architecture,Grad,annie.powell64@example.com,8,0.1705,0.0348,0.3584,Martian,17,http://api.randomuser.me/portraits/thumb/women/33.jpg
ramona,willis,female,ECE,PhD,ramona.willis48@example.com,9,0.0385,0.5865,0.8041,Romulan,24,http://api.randomuser.me/portraits/thumb/women/21.jpg
leroy,patterson,male,Aerospace,Grad,leroy.patterson15@example.com,8,0.0941,0.1616,0.9945,Vulcan,21,http://api.randomuser.me/portraits/thumb/men/11.jpg
charlene,silva,female,Civil,Senior,charlene.silva35@example.com,11,0.1319,0.3551,0.8624,Human,25,http://api.randomuser.me/portraits/thumb/women/12.jpg
joy,simmons,female,Architecture,Sophomore,joy.simmons63@example.com,11,0.4363,0.6801,0.9762,Klingon,29,http://api.randomuser.me/portraits/thumb/women/75.jpg
leah,murphy,female,Aerospace,Junior,leah.murphy90@example.com,8,0.3251,0.5582,0.4543,Vulcan,26,http://api.randomuser.me/portraits/thumb/women/14.jpg
vincent,price,male,Architecture,Grad,vincent.price40@example.com,8,0.4401,0.4845,0.1572,Vulcan,23,http://api.randomuser.me/portraits/thumb/men/11.jpg
james,carroll,male,CS,PhD,james.carroll49@example.com,10,0.3175,0.171,0.5624,Klingon,25,http://api.randomuser.me/portraits/thumb/men/11.jpg
debbie,marshall,female,ECE,Senior,debbie.marshall22@example.com,9,0.3364,0.6835,0.3426,Vulcan,22,http://api.randomuser.me/portraits/thumb/women/67.jpg
bradley,cole,male,Media,Freshman,bradley.cole54@example.com,8,0.3205,0.1267,0.8767,Human,18,http://api.randomuser.me/portraits/thumb/men/11.jpg
hazel,watts,female,Aerospace,Sophomore,hazel.watts79@example.com,7,0.1531,0.1955,0.4296,Romulan,22,http://api.randomuser.me/portraits/thumb/women/2.jpg
hannah,cox,female,Media,Senior,hannah.cox48@example.com,6,0.0299,0.6072,0.1612,Romulan,22,http://api.randomuser.me/portraits/thumb/women/3.jpg
catherine,fernandez,female,Architecture,PhD,catherine.fernandez68@example.com,5,0.3855,0.098,0.5721,Vulcan,25,http://api.randomuser.me/portraits/thumb/women/28.jpg
johnni,evans,male,Mech,Senior,johnni.evans52@example.com,7,0.3456,0.5715,0.1333,Martian,18,http://api.randomuser.me/portraits/thumb/men/11.jpg
julio,phillips,male,ECE,Sophomore,julio.phillips29@example.com,5,0.2321,0.246,0.4357,Human,17,http://api.randomuser.me/portraits/thumb/men/11.jpg
joanne,fuller,female,Mech,Freshman,joanne.fuller12@example.com,9,0.0525,0.443,0.9773,Romulan,20,http://api.randomuser.me/portraits/thumb/women/76.jpg
brandie,kelly,female,Mech,Junior,brandie.kelly68@example.com,8,0.2089,0.6175,0.4975,Vulcan,26,http://api.randomuser.me/portraits/thumb/women/25.jpg
thomas,simmmons,male,Mech,Sophomore,thomas.simmmons36@example.com,6,0.2704,0.4988,0.2285,Romulan,18,http://api.randomuser.me/portraits/thumb/men/11.jpg
francisco,wells,male,Media,Junior,francisco.wells15@example.com,7,0.4746,0.0983,0.3181,Martian,26,http://api.randomuser.me/portraits/thumb/men/12.jpg
allen,brewer,male,Aerospace,Freshman,allen.brewer81@example.com,10,0.1479,0.1308,0.0499,Vulcan,29,http://api.randomuser.me/portraits/thumb/men/12.jpg
vickie,hernandez,female,Aerospace,Sophomore,vickie.hernandez59@example.com,10,0.3699,0.5128,0.7817,Martian,29,http://api.randomuser.me/portraits/thumb/women/16.jpg
eileen,bradley,female,Civil,Grad,eileen.bradley75@example.com,5,0.2808,0.0008,0.9199,Klingon,29,http://api.randomuser.me/portraits/thumb/women/52.jpg
andre,steward,male,ECE,Junior,andre.steward99@example.com,8,0.1983,0.5128,0.4533,Vulcan,24,http://api.randomuser.me/portraits/thumb/men/12.jpg
gordon,martinez,male,Media,Grad,gordon.martinez68@example.com,11,0.0019,0.5169,0.0399,Vulcan,26,http://api.randomuser.me/portraits/thumb/men/12.jpg
paula,gray,female,Civil,Freshman,paula.gray66@example.com,7,0.2312,0.4144,0.077,Klingon,23,http://api.randomuser.me/portraits/thumb/women/58.jpg
wesley,vasquez,male,Architecture,Grad,wesley.vasquez18@example.com,6,0.3615,0.6039,0.6264,Human,29,http://api.randomuser.me/portraits/thumb/men/12.jpg
harper,garrett,female,Civil,PhD,harper.garrett93@example.com,5,0.2096,0.5371,0.0966,Romulan,25,http://api.randomuser.me/portraits/thumb/women/42.jpg
felecia,phillips,female,Mech,Junior,felecia.phillips58@example.com,7,0.1984,0.6919,0.4291,Human,20,http://api.randomuser.me/portraits/thumb/women/0.jpg
sean,johnston,male,Aerospace,Freshman,sean.johnston63@example.com,8,0.1672,0.301,0.9563,Human,21,http://api.randomuser.me/portraits/thumb/men/12.jpg
manuel,holt,male,Mech,Grad,manuel.holt11@example.com,10,0.0085,0.0168,0.2959,Human,21,http://api.randomuser.me/portraits/thumb/men/12.jpg
katherine,sullivan,female,CS,PhD,katherine.sullivan79@example.com,11,0.3612,0.4768,0.7644,Human,23,http://api.randomuser.me/portraits/thumb/women/48.jpg
ethel,perry,female,Aerospace,Grad,ethel.perry65@example.com,8,0.3501,0.3261,0.963,Martian,27,http://api.randomuser.me/portraits/thumb/women/60.jpg
marsha,neal,female,CS,Junior,marsha.neal62@example.com,10,0.0993,0.5124,0.1664,Romulan,18,http://api.randomuser.me/portraits/thumb/women/61.jpg
ashley,matthews,female,Mech,PhD,ashley.matthews16@example.com,8,0.1715,0.2217,0.9958,Martian,22,http://api.randomuser.me/portraits/thumb/women/65.jpg
edward,burns,male,ECE,Freshman,edward.burns66@example.com,6,0.0368,0.3566,0.1043,Romulan,23,http://api.randomuser.me/portraits/thumb/men/12.jpg
willie,bates,female,Media,Freshman,willie.bates89@example.com,7,0.1432,0.3844,0.6577,Human,27,http://api.randomuser.me/portraits/thumb/women/72.jpg
valerie,clark,female,Mech,PhD,valerie.clark26@example.com,9,0.2612,0.3562,0.5156,Human,24,http://api.randomuser.me/portraits/thumb/women/47.jpg
monica,dean,female,Aerospace,Grad,monica.dean50@example.com,9,0.0173,0.5014,0.8754,Klingon,25,http://api.randomuser.me/portraits/thumb/women/5.jpg
kathy,medina,female,ECE,Senior,kathy.medina36@example.com,8,0.0019,0.5473,0.3732,Human,20,http://api.randomuser.me/portraits/thumb/women/38.jpg
richard,gomez,male,ECE,Freshman,richard.gomez57@example.com,7,0.0273,0.645,0.7929,Klingon,27,http://api.randomuser.me/portraits/thumb/men/13.jpg
patsy,jacobs,female,Media,Senior,patsy.jacobs93@example.com,9,0.3159,0.3569,0.877,Klingon,19,http://api.randomuser.me/portraits/thumb/women/39.jpg
jo,mason,female,ECE,PhD,jo.mason91@example.com,9,0.1001,0.3011,0.0849,Human,21,http://api.randomuser.me/portraits/thumb/women/69.jpg
letitia,bates,female,Architecture,Senior,letitia.bates14@example.com,9,0.4597,0.6409,0.0293,Martian,28,http://api.randomuser.me/portraits/thumb/women/73.jpg
rodney,stone,male,CS,Grad,rodney.stone96@example.com,7,0.2593,0.586,0.4789,Martian,25,http://api.randomuser.me/portraits/thumb/men/13.jpg
jenny,romero,female,Civil,Senior,jenny.romero92@example.com,8,0.0604,0.626,0.7667,Romulan,22,http://api.randomuser.me/portraits/thumb/women/40.jpg
tommy,dixon,male,ECE,PhD,tommy.dixon46@example.com,7,0.4195,0.6013,0.5618,Vulcan,28,http://api.randomuser.me/portraits/thumb/men/13.jpg
kitty,hansen,female,Civil,Sophomore,kitty.hansen38@example.com,11,0.2764,0.0995,0.941,Romulan,28,http://api.randomuser.me/portraits/thumb/women/18.jpg
rafael,mason,male,Aerospace,Freshman,rafael.mason79@example.com,6,0.4675,0.0147,0.739,Klingon,22,http://api.randomuser.me/portraits/thumb/men/13.jpg
ruby,patterson,female,Mech,Freshman,ruby.patterson54@example.com,8,0.4787,0.1324,0.9753,Romulan,20,http://api.randomuser.me/portraits/thumb/women/63.jpg
darlene,robertson,female,Media,Grad,darlene.robertson30@example.com,9,0.2874,0.0721,0.0653,Vulcan,19,http://api.randomuser.me/portraits/thumb/women/62.jpg
leonard,hansen,male,CS,Grad,leonard.hansen34@example.com,5,0.2388,0.2179,0.4443,Martian,18,http://api.randomuser.me/portraits/thumb/men/13.jpg
celina,williamson,female,Architecture,Junior,celina.williamson71@example.com,5,0.35,0.4093,0.5755,Vulcan,19,http://api.randomuser.me/portraits/thumb/women/52.jpg
calvin,jennings,male,CS,PhD,calvin.jennings99@example.com,5,0.0481,0.2287,0.6519,Martian,26,http://api.randomuser.me/portraits/thumb/men/13.jpg
owen,barnett,male,Civil,Freshman,owen.barnett60@example.com,7,0.0336,0.4511,0.2666,Human,18,http://api.randomuser.me/portraits/thumb/men/13.jpg
julian,hunt,male,ECE,Grad,julian.hunt87@example.com,6,0.3223,0.08,0.7604,Romulan,24,http://api.randomuser.me/portraits/thumb/men/13.jpg
dawn,spencer,female,CS,PhD,dawn.spencer90@example.com,9,0.2137,0.5942,0.1322,Human,22,http://api.randomuser.me/portraits/thumb/women/46.jpg
edgar,barnett,male,Aerospace,Senior,edgar.barnett70@example.com,10,0.3207,0.0908,0.2623,Romulan,29,http://api.randomuser.me/portraits/thumb/men/13.jpg
cameron,hall,male,Mech,Senior,cameron.hall44@example.com,6,0.0856,0.6828,0.2511,Klingon,18,http://api.randomuser.me/portraits/thumb/men/13.jpg
dwayne,hopkins,male,Aerospace,Senior,dwayne.hopkins17@example.com,5,0.3519,0.2216,0.8644,Human,28,http://api.randomuser.me/portraits/thumb/men/13.jpg
rita,cox,female,Aerospace,Senior,rita.cox46@example.com,9,0.2433,0.3308,0.6764,Romulan,24,http://api.randomuser.me/portraits/thumb/women/84.jpg
jimmy,wheeler,male,Civil,Grad,jimmy.wheeler99@example.com,6,0.1575,0.0089,0.8364,Vulcan,24,http://api.randomuser.me/portraits/thumb/men/13.jpg
hector,hill,male,Mech,Sophomore,hector.hill46@example.com,11,0.4446,0.2065,0.0177,Human,28,http://api.randomuser.me/portraits/thumb/men/13.jpg
gary,cox,male,Aerospace,Grad,gary.cox81@example.com,5,0.1932,0.4164,0.9031,Vulcan,23,http://api.randomuser.me/portraits/thumb/men/13.jpg
andrew,meyer,male,ECE,PhD,andrew.meyer55@example.com,5,0.4017,0.3925,0.1931,Martian,26,http://api.randomuser.me/portraits/thumb/men/13.jpg
abigail,watson,female,Aerospace,Freshman,abigail.watson66@example.com,10,0.4554,0.5801,0.1375,Martian,18,http://api.randomuser.me/portraits/thumb/women/79.jpg
yvonne,webb,female,ECE,Sophomore,yvonne.webb94@example.com,5,0.1662,0.5829,0.9755,Martian,28,http://api.randomuser.me/portraits/thumb/women/70.jpg
ashley,rose,female,Media,Sophomore,ashley.rose93@example.com,9,0.1803,0.324,0.6416,Human,22,http://api.randomuser.me/portraits/thumb/women/49.jpg
virgil,hoffman,male,Mech,Senior,virgil.hoffman63@example.com,6,0.4289,0.611,0.3266,Martian,21,http://api.randomuser.me/portraits/thumb/men/14.jpg
ken,rhodes,male,Media,Sophomore,ken.rhodes14@example.com,11,0.3478,0.4732,0.4007,Klingon,26,http://api.randomuser.me/portraits/thumb/men/14.jpg
rita,silva,female,Architecture,Sophomore,rita.silva40@example.com,5,0.1931,0.3423,0.6333,Human,22,http://api.randomuser.me/portraits/thumb/women/96.jpg
gilbert,simpson,male,ECE,Junior,gilbert.simpson10@example.com,11,0.0767,0.4751,0.244,Human,23,http://api.randomuser.me/portraits/thumb/men/14.jpg
edgar,brewer,male,Media,Junior,edgar.brewer80@example.com,9,0.1044,0.5925,0.1143,Human,27,http://api.randomuser.me/portraits/thumb/men/14.jpg
irene,martinez,female,Architecture,Grad,irene.martinez60@example.com,7,0.0657,0.0935,0.9951,Martian,17,http://api.randomuser.me/portraits/thumb/women/28.jpg
daisy,ferguson,female,Media,Senior,daisy.ferguson81@example.com,5,0.3581,0.0352,0.7083,Romulan,22,http://api.randomuser.me/portraits/thumb/women/55.jpg
maureen,carroll,female,Civil,Sophomore,maureen.carroll60@example.com,11,0.4491,0.2635,0.4589,Human,29,http://api.randomuser.me/portraits/thumb/women/35.jpg
wilma,carlson,female,Aerospace,Junior,wilma.carlson40@example.com,8,0.4063,0.3304,0.0148,Klingon,20,http://api.randomuser.me/portraits/thumb/women/33.jpg
joel,graves,male,Architecture,Senior,joel.graves47@example.com,7,0.3814,0.6997,0.2957,Romulan,19,http://api.randomuser.me/portraits/thumb/men/14.jpg
gwendolyn,morgan,female,CS,Freshman,gwendolyn.morgan79@example.com,8,0.0441,0.4145,0.698,Human,22,http://api.randomuser.me/portraits/thumb/women/22.jpg
joann,reid,female,Media,Grad,joann.reid83@example.com,11,0.2727,0.1612,0.255,Vulcan,28,http://api.randomuser.me/portraits/thumb/women/13.jpg
jimmy,long,male,ECE,Senior,jimmy.long16@example.com,5,0.3066,0.6237,0.9508,Klingon,22,http://api.randomuser.me/portraits/thumb/men/14.jpg
